ilot;libelle_ilot;type_ilot;optim;type_bandeau
FLT;UI FIR SCOPELEC LT;FT;0;CE
V3S; SADTF7 R10 TOULOUSE SUD;ETL;0;C
V65; SADTF7 R10 HAUTES PYRENEES;ETL;0;C
VQC;Villefranche AQG;ETL;0;CE
OPC;ui tampon opit ml suivi CAE;FT;0;CE
RMR;HE/ SADTF7 RE HABITE - MIR;RE;0;C
TPA;PABX TARN (Albi+Castres);FT;1;CE
BCN;CHAB/DOLM Zone Nord SCOTF7;ETL;0;CE
S82;ui ntic tarn et garonne;FT;1;CE
OPE;UI MIROIR RV DES SAV PLUS;FT;0;C
FTM;FTTH FT;FT;0;CE
HNO;ui hno flux opus gpc (CACER);ETL;0;CE
GPX;PABX GARONNE ARIEGE;FT;0;CE
S12;ntic-12 AVEYRON;FT;1;CE
B09;BL/ SADTF7 ARIEGE;ETL;0;CE
B81;BL/ SCOTF7 TARN;ETL;0;CE
EQC;ANALYSE QUALITE;FT;0;CE
GQP;QRL a faire Pamiers;ETL;0;CE
RMU;HO/ RE HABITE FT - MUR;RE;0;C
TC8;RS/miroir TARBES;FT;0;R
GBX;PABX AUCH TARBES;FT;0;CE
GRG;ILOT DE GARAGE;RE;0;C
P31; SADTF7 POI 31 SUD;ETL;0;CE
B82;BL/ SCOTF7 TARN ET GARONNE;ETL;0;CE
LPX;PABX Lot;FT;1;CE
TC9;RS/exploitation TARBES;FT;0;R
BCS;CHAB/DOLM Zone Sud SADTF7;ETL;0;CE
F8M;maintenance ftth 82;FT;0;CE
OPI;UI DE REDIRECTION DE UI OPE;FT;0;C
PSU;UI STOCKAGE PRESSU Suite ALARM;ETL;0;CE
B12;BL/ SCOTF7 AVEYRON;ETL;0;CE
P32; SADTF7 POI GERS;ETL;0;CE
FNG;COMMANDES EN ATTENTE D OT PR FTH;FT;0;C
FTR;ui d attente pour ftth;FT;0;CE
R46;R02 du Lot;FT;1;CE
ECE;CE ADSL;SE;0;
65L;LL + TSL Hte Pyr;FT;0;CE
F8P;production ftth 82;FT;0;CE
MGR;RS/MIGRATION TVNUM;FT;0;CE
O65;Ilot Reception OPO Opit 65;ETL;0;CE
FMU;Fibre PROD Muret;ETL;0;CE
GT9;RS/exploitation COMMUT_TLSE;FT;0;R
R2N;R02 SCOTF7 Zone NORD;ETL;0;CE
Y3N; SCOTF7 SAV TOULOUSE + 31 NORD;ETL;0;CE
OPO;Ilot Traitement des OPO/Opit;ETL;0;C
Q09;STOCKAGE DES QRL DE L ARIEGE;ETL;0;CE
JAZ;Ilot Filtrage MOE JAZZ;FT;0;C
Q81;STOCKAGE DES QRL DU TARN;ETL;0;CE
TQC;Tarn QRL AQC/CA;ETL;0;CE
DES;ui garage desamiantage;ETL;0;CE
BYT;CIPAETH;RE;0;C
F46;Fibre PROD 46 - Lot;FT;0;CE
RAI;INTERFACE CACER-RAI;FT;0;CE
