ATTR1;DUREE;COMPETENCE
2BC892;0200;GPBL
2BC894;0200;GPBL
2BC895;0200;GPBL
2BC897;0200;GPBL
2BC902;0200;GPBL
2BC905;0200;GPBL
2BC910;0200;GPBL
2BC911;0200;GPBL
2BC912;0200;GPBL
2BC913;0200;GPBL
2BC914;0200;GPBL
2BC915;0200;GPBL
2BC924;0200;GPBL
2BC930;0200;GPBL
2BC933;0200;GPBL
2BC934;0200;GPBL
2BC935;0200;GPBL
2BC936;0200;GPBL
2BC937;0200;GPBL
2BC939;0200;GPBL
2BC940;0200;GPBL
2BC941;0200;GPBL
2BC942;0200;GPBL
2BC943;0200;GPBL
2BC947;0200;GPBL
2BC949;0200;GPBL
2BC952;0200;GPBL
2BC956;0200;GPBL
2BC960;0200;GPBL
2BC970;0200;GPBL
2BC971;0200;GPBL
2BC972;0200;GPBL
2BC981;0200;GPBL
2BC986;0200;GPBL
2BC990;0200;GPBL
2BCA50;0200;GPBL
2BCA60;0200;GPBL
2BCA62;0200;GPBL
2BCA68;0200;GPBL
2BCA70;0200;GPBL
2BCALT;0200;GPBL
2BCB4X;0200;GPBL
2BCBCI;0200;GPBL
2BCBNT;0200;GPBL
2BCC07;0200;GPBL
2BCC28;0200;GPBL
2BCC35;0200;GPBL
2BCC37;0200;GPBL
2BCCIH;0200;GPBL
2BCCLR;0200;GPBL
2BCCON;0200;GPBL
2BCCPI;0200;GPBL
2BCDCE;0200;GPBL
2BCDF2;0200;GPBL
2BCDF5;0200;GPBL
2BCDIE;0200;GPBL
2BCDIL;0200;GPBL
2BCDIM;0200;GPBL
2BCDMX;0200;GPBL
2BCDSX;0200;GPBL
2BCDTS;0200;GPBL
2BCHCN;0200;GPBL
2BCMAP;0200;GPBL
2BCMBV;0200;GPBL
2BCMCL;0200;GPBL
2BCMCO;0200;GPBL
2BCMOP;0200;GPBL
2BCMOV;0200;GPBL
2BCMWS;0200;ERS
2BCN50;0200;GPBL
2BCNF2;0200;GPBL
2BCNF5;0200;GPBL
2BCNF8;0200;GPBL
2BCNXD;0200;GPBL
2BCNXL;0200;GPBL
2BCNXS;0200;GPBL
2BCSEA;0200;GPBL
2BCSET;0200;GPBL
2BCSMX;0200;GPBL
2BCSX1;0200;GPBL
2BCSX2;0200;GPBL
2BCXS2;0200;GPBL
2DI173;0400;GPBL
2DI174;0400;GPBL
2DI175;0200;GPBL
2DI177;0200;GPBL
2DI180;0400;GPBL
2DI189;0400;GPBL
2DI190;0400;GPBL
2DI191;0400;GPBL
2DI387;0200;GPBL
2DI388;0200;GPBL
2DI404;0200;GPBL
2DI406;0200;GPBL
2DI436;0200;GPBL
2DI476;0200;GPBL
2DI485;0400;GPBL
2DI489;0200;GPBL
2DI508;0400;GPBL
2DI685;0200;GPBL
2DI686;0200;GPBL
2DI695;0400;GPBL
2DI835;0700;GPBL
2DI874;0330;GPBL
2DI890;0700;GPBL
2DI895;0700;GPBL
2DI897;0330;GPBL
2DI898;0700;GPBL
2DI901;0330;GPBL
2DI902;0330;GPBL
2DI903;0330;GPBL
2DI904;0330;GPBL
2DI905;0330;GPBL
2DI912;0700;GPBL
2DI913;0330;GPBL
2DI916;0200;GPBL
2DI919;0700;GPBL
2DI921;0330;GPBL
2DI922;0330;GPBL
2DI927;0700;GPBL
2DI928;0330;GPBL
2DI931;0700;GPBL
2DI933;0700;GPBL
2DI934;0700;GPBL
2DI935;0700;GPBL
2DI936;0700;GPBL
2DI937;0700;GPBL
2DI938;0700;GPBL
2DI941;0700;GPBL
2DI942;0700;GPBL
2DI943;0700;GPBL
2DI950;0700;GPBL
2DI952;0700;GPBL
2DI954;0100;GPBL
2DI967;0700;GPBL
2DI984;0100;GPBL
2DI985;0330;GPBL
2DI991;0200;GPBL
2DI994;0300;GPBL
2DI996;0730;GPBL
2DIA43;0700;GPBL
2DIA60;0700;GPBL
2DIA62;0700;GPBL
2DIA68;0700;GPBL
2DIA70;0700;GPBL
2DIA90;0700;GPBL
2DIANM;0700;GPBL
2DIATI;0330;GPBL
2DIB3X;0700;GPBL
2DIB4X;0700;GPBL
2DIBCI;0330;GPBL
2DIBLI;0330;GPBL
2DIC35;0700;GPBL
2DIC37;0700;GPBL
