iloCodeIlot;iloLibelleIlot;iloOptim;iloCodeEtablissement;iloCodeBase;iloInfo;iloInfoAdmin;iloDateCreation;iloDateModif;iloDateSuppression;used;sedIdServDem;prsIdProdSav;dacIdDomAct;coIdCompetence;siIdSite;enIdEntreprise;fiIdFiltrage;tiIdTypeIot;banIdBandeau
MBT;UI Poubelle;0;TF7;T1;(ui pil pro et autres) -29/07/2015- Sont déplacées dans MBT les interventions (en général les R10) sans OT qui on un rdv pour le lendemain. Lorsque ces DI ont un OT (préparé par le PPCftth) un nouveau rdv est pris et la DI reprend sont chemin dans les îlots de vie. Ce fonctionnement est identique pour les R10 qui ont des soucis de dispo, ou travaux client(TL Transfert Local arrivé par eRDV) le RDV est mis en "requis" dans CRYSTAL, l'intervention dans GPC est mise dans MBT (sans OT > Etude incomplete) en attendant un nouveau rendez-vous, une fois le nouveau rdv pris, l'intervention reprend son ;Pour relève des ot bizarres ou doublons ou autres;;22/03/2016;;Oui;CA Toutes;;;;;;;RE;C 
MGR;RS/MIGRATION TVNUM;0;TF7;T1;Lors de la création d?un NRA ou de la migration d?une Sous Répartition d?un répartiteur vers un autre, nous avons un délai minimum de 15 jours à attendre entre l'ouverture commercial et la réalisation de la migration. Durant ce laps de temps, nous recevons pour les clients des opérateurs tiers des informations sur les branchements à fairepour chaque client. Cela induit la création d'OT MGR, qui se retrouvent dans l'îlot MGR (à la mains de l'équipe RMUT).La préparation à la migration doit être réalisé durant ce délai de 15 jours, pendant ce temps le nombre d'OT peut augmenter.Or il se peu;Réceptionne les MGRXXX;;22/03/2016;;Oui;UPR RMUT;;;;;;;FT;CE
MQC;LOT QRL AQC /CA millau;0;TF7;T1;;;;22/03/2016;;?;;;;;;;;ETL;CE
MV4;ui nationale pour mascot v4;0;TF7;T1;;;;22/03/2016;;Oui;UI Nat;;;;;;;ETL;CE
NPN; SCOTF7 OT BL ac releve PRO;0;TF7;T1;Ce sont des îlots BL. Elles vont réceptionner des interventions crées par la CA BL. Ces interventions feront suite à une relève en DEF d?une intervention faite réellement en provisoire ce qui permettra de clôturer la 1ere intervention (ou derco) dans les délais. Ces interventions seront gratuites pour nous car l?ETR devra de finaliser ces travaux dans un délai assez court (environ 10 jours);Mise en place le 11/01/2016;;22/03/2016;;Oui;CA BL;SAV;BL;;;SCOTF7;;ETL;CE
NPS; SADTF7 OT BL ac releve PRO;0;TF7;T1;Ce sont des îlots BL. Elles vont réceptionner des interventions crées par la CA BL. Ces interventions feront suite à une relève en DEF d?une intervention faite réellement en provisoire, ce qui permettra de clôturer la 1ere intervention (ou derco) dans les délais. Ces interventions seront gratuites pour nous car l?ETR devra de finaliser ces travaux dans un délai assez court (environ 10 jours);Mise en place le 11/01/2016;;22/03/2016;;Oui;CA BL;SAV;BL;;;SADTF7;;ETL;CE
NRA;ui tampon nra prod avant mes;0;TF7;T1;Stock les productions en attente ouverture d un NRA (entre ouverture commerciale et la mise en service);;;22/03/2016;;Oui;CA GD;;GD;;;;;ETL;CE
O09;Ilot Reception OPO Opit 09/31S;0;TF7;T1;Prise de rendez-vous des OPO pour le 09 et 31 sud;;;22/03/2016;;Oui;CACER;PROD;E;Ilot accueil OPO;31s-09;;;ETL;CE
O12;Ilot Reception OPO Opit 12;0;TF7;T1;Prise de rendez-vous des OPO pour le 12;;;22/03/2016;;Oui;CACER;PROD;E;Ilot accueil OPO;12;;;ETL;CE
O32;Ilot Reception OPO Opit 32;0;TF7;T1;Prise de rendez-vous des OPO pour le 32;;;22/03/2016;;Oui;CACER;PROD;E;Ilot accueil OPO;32;;;ETL;CE
O46;Ilot Reception OPO Opit 46;0;TF7;T1;Prise de rendez-vous des OPO pour le 46;;;22/03/2016;;Oui;CACER;PROD;E;Ilot accueil OPO;46;;;ETL;CE
O65;Ilot Reception OPO Opit 65;0;TF7;T1;Prise de rendez-vous des OPO pour le 65;;;22/03/2016;;Oui;CACER;PROD;E;Ilot accueil OPO;65;;;ETL;CE
O81;Ilot Reception OPO Opit 81;0;TF7;T1;Prise de rendez-vous des OPO pour le 81;;;22/03/2016;;Oui;CACER;PROD;E;Ilot accueil OPO;81_Gble;;;ETL;CE
O82;Ilot Reception OPO Opit 82;0;TF7;T1;Prise de rendez-vous des OPO pour le 82;;;22/03/2016;;Oui;CACER;PROD;E;Ilot accueil OPO;82;;;ETL;CE
OPC;ui tampon opit ml suivi CAE;0;TF7;T1;;;;22/03/2016;;Oui;CACER;;;;;;;FT;CE
OPE;UI MIROIR RV DES SAV PLUS;0;TF7;T1;PFO-PCC-PPC-CPC prennent les rv sur OPE;;;22/03/2016;;Oui;CA GD;;GD;;;;;FT;C 
OPI;UI DE REDIRECTION DE UI OPE;0;TF7;T1;Après passage dans OPE arrivent sur OPI pour redirection vers les bonnes UI;;;22/03/2016;;Oui;CA GD;;GD;;;;;FT;C 
OPO;Ilot Traitement des OPO/Opit;0;TF7;T1;Réception tous les OPO après la prise de rendez-vous sur les îlots Oxx;;;22/03/2016;;Oui;CACER;PROD;E;;;;;ETL;C 
OPS;ui tampon opit ml suivi RAI;0;TF7;T1;Ilot miroir pour gestion activité OPITML entre ADCP et RAI;îlots de prise de rendez-vous fictif pour les opitMl avec PABX, des RMA IPV, le RAI par la suite prendra le rendez-vous quand il veut.;;22/03/2016;;Oui;RAI;;;;;;;FT;CE
ORA;orange production;0;TF7;T1; PEQMOB - PRODUCTION D'EQUIPEMENT ORANGE - BAS DE RESEAU ET (ANTENNE, BTS, BSC, BAIE RADIO, à) #RPE;;;22/03/2016;;?;CACER;;;;;;;FT;R 
