Centre;libelle;zones;CentreOrigine;typeNRA;BlocageR2;InfoR2;Numero;Rue;CodePostal;IlotRepHab;CoordGPS-Lambert2-COX;CoordGPS-Lambert2-COY
8PI;LE PIN MURELET;YFD;RIE;HD;;;;LE PRADAS;31419;;493391;1822210
BOU;BOULOGNE;DDI BLA NAV BRO HOS RET;;CL;;;434;AV COMMINGES;31080;;462824;1810956
RVV;ARNAVE;ARN;TAR;MED;;;;VILLAGE;09016;;542744;1761840
SML;ST MARTIN DE LENNE;DDI PIE;;CL;;;;LE BOURG;12239;;650050;1936831
OSR;MARSOLAN EGLISE;MAV;TEU;MED;;;;AU VILLAGE;32239;;455549;1883672
MGD;MONTGAILLARD;ZDD LOU;;CL;;;;PL MAIRIE;65320;;418350;1793890
PZO;POULAN POUZOLS;POU;LAM;HD;;;;POULAN;81211;;582319;1873053
DLS;MANDAILLES;MAN;PDA;HD;;;;MANDAILLES;12061;;643537;1945735
EBS;BESSONIES;FAU;LAQ;HD;;;;LE FAU;46338;;585332;1979073
ZIT;BLAZIERT;BLA;CNS;MED;;;;VILLAGE;32057;;450722;1884123
ESP;ESPALION;DDI ALA EST GAR LAG MAI COU QRO BAR BUT;;CL;;;;RUE ECOLES;12096;;634024;1947044
OSS;OSSUN;ZDD AZE SJO;;CL;;;6;RUE GEORGES CLEMENCEAU;65344;;407542;1800997
NNB;BANNES;BAN;LEY;HD;;;;LE BOURG;46017;;566224;1978991
MVV;MONDONVILLE;DDI EOA DAU EOD GAS BAY SAL;;CL;;;;CHE BOUCONNE;31351;;514691;1852843
KZO;CAZAUX SAVES;CAZ;END;MED;;;;VILLAGE;32098;;490472;1838675
PYZ;PUYGOUZON;DDI CRE ALV;;CL;;;;BOURG;81218;;586625;1876762
SMN;SAMOUILLAN;DDI FRA TER SAM;;CL;;;;GAOUACH;31529;;487762;1807345
8PL;SAINT PIERRE LAFEUILLE;SPI;PEL;HD;;;;PLACE DU 21 JANVIER 1951;46340;;529874;1947385
FIR;FIRMI;DDI CER COU BRI MAI FOR;;CL;;;;RUE FRANCOIS MITTERRAND;12100;;597888;1948655
AL3;ALBAS;DDI;;CL;;;;LE BOURG;46001;;512467;1941419
VPR;VALPRIONDE;VAP;STM;HD;;;;LE BOURG;46326;;502849;1928483
GOY;GOYA;DDI ALB ARS BEA BEL CAP CEZ CHA CHE COR FRE GAR GOU IND ING JAU LAM LIC MAG MEL MOL NAU PAL PAU PEL REN REY SER STR VER JEA MAT;;CL;;;;ALL MAL JUIN;81065;;592191;1844371
SMO;ST-M-OYDES;DDI;;CL;;;;VILLAGE;09270;;531491;1796806
RFR;VERFEIL LE RAMEL;XLR;VFE;HD;;;;LE RAMEL;31573;;550651;1852196
PL7;PLAISANCE;DDI;;CL;;;;LE BOURG;12183;;616769;1880572
LB6;LABARTHE;ZDD LOR CHA HEC AVE LAB APR PRA;;CL;;;1;RTE DES FOURS;65069;;440344;1788283
OUA;SOUAL;DDI LAN SAN TOU GER;;CL;;;;RUE ECOLES;81289;;582068;1839327
VAB;VABRE;DDI GLE MAI GAN;;CL;;;;IMP TRESOR;81305;;607121;1854236
MFR;MONTFERRIER;DDI BAR;;CL;;;;VILLAGE;09206;;555830;1766181
KJK;CAMJAC;FRO;NAG;MED;;;;FRONS;12046;;606137;1910204
EST;ESTAING;DDI GEN VER LCA VIN;;CL;;;;RUE FRANCOIS D ESTAING;12098;;626602;1950649
PL8;PLAISANCE;ZDD MAI JUB PRE AUN PYR TIE GAL;;CL;;;;RUE GRANIER DE CASSAGNAC;32319;;414773;1847594
LB7;LE BORN;DDI;;CL;;;;LE VILLAGE;31077;;536397;1876089
BOZ;BOZOULS;EST DDI GIL ZAR COU CEY DOU PEY;;CL;;;;RUE EUGENE VIEILLECAZES;12033;;631099;1941015
MVZ;MAUVEZIN;ZDD LAG MAR MIL TEM TOU LAM;;CL;;;;RUE TOURNEUVE;32249;;482330;1859716
MFS;MONFERRAN;ZDD SAU FRE;;CL;;;;VILLAGE;32268;;490386;1844899
VQK;LA BASTIDE CADOUR;CAD;LEV;MED;;;;CADOUR;12021;;;
EUA;CIEURAC;CIE CAY GRA;LAL;HD;;;;LE BOURG;46070;;533985;1929998
M6L;MOULIN   ;NEG ZIN LEC;;CL;;;;AV NEGREPELISSE;82121;;522651;1892635
IMO;SIMORRE LES AUBES;AUB;SRR;MED;;;;LES AUBES;32433;;473404;1829249
LAB;LABRUGUIERE;DDI BEL CAU ECO HAU LAP CUR POS ZAC;;CL;;;;AV JACQUES SIMON;81120;;594193;1837218
NLZ;NALZEN;DDI ROQ;;CL;;;;NALZEN VILLAGE;09215;;552641;1768352
TTO;PRADINES FLOTTES;FLO;CAH;HD;;;;FLOTTES;46224;;523688;1937827
PIX;MIREPOIX 32;MIR;CHR;MED;;;;AU VILLAGE;32258;;465536;1861797
NNG;SAINT AGNAN;SAG;LAV;HD;;;;BOURG;81236;;551306;1855037
MFT;MONFORT;BAJ GEM HOM ZDD;;CL;;;;VILLAGE;32269;;477985;1866996
FL8;FLAMARENS;ZDD ANT PEY;;CL;;;;AU VILLAGE;32131;;476096;1891880
EDE;LALBAREDE;DDI GUI SER VAR;;CL;;;;BOURG;81132;;576471;1849171
LAC;LACAPELLE MARIVAL;DDI MAU ANG SAL ESP BUR;;CL;;;;PL GERAUD 1 ER DE CARDAILLAC;46143;;567518;1969626
SP5;ST PIERRE DE TREVISY;DDI GOL;;CL;;;;BOURG;81267;;607971;1862162
OTO;MONTIRON;MON;GIM;MED;;;;LA MAYNETTE;32288;;481606;1844730
PJO;LES PUJOLS;DDI ISS PUJ RIE SAM ARV;;CL;;;;RTE MIREPOIX;09238;;550682;1787699
CVZ;CASTERA VE;ZDD AYG BEA ROZ TRI MOU;;CL;;;;LE CHATEAU;32083;;445999;1869141
EDF;GOLFECH E.D.F;DDI;;CL;;;;CENTRALE NUCLEAIRE;82072;;481151;1901740
BAB;BARBOTAN;ZDD PAL BAI SOL ARM;;CL;;;;RUE MONTAIGNE;32096;;408786;1885932
SNI;ST NICOLAS DE LA GRAVE;DDI BER MER POU;;CL;;;;ALL JOSEPH LASSERRE;82169;;494679;1896704
LRA;LARRA;XDD CTG LRO BDV;;CL;;;;RTE LAUNAC;31592;;510951;1860393
TCT;BETCHAT;DDI;;CL;;;;VILLAGE;09054;;491896;1788551
PIZ;PIS TAYBOSC;PIS;PU8;MED;;;;LE VIGNAUX;32318;;469513;1865967
8AA;ST PARTHEM;SPA;AGR;ZO;;;;LE BOURG;12240;;598204;1958360
KZV;CAZAUX VILLECOMTAL;CZX;VL6;MED;;;;LASSALLE;32099;;424901;1829911
J4A;EN JACCA   ;C1D C2D CID CFD;COL;HD;;;;CHE NAUDINATS;31149;;517347;1844933
NMS;MONS;MNS;DRE;HD;;;;VILLAGE;31355;;538401;1845716
JUE;ST JUERY 81;ART POS ECO JAU GRI LAB MON REN STA ZIN AVA CUN RAV NEG RIV SAR DDI GER NEW;;CL;;;;RUE ALBERT CAMUS;81257;;588933;1882515
GRA;GRAULHET;DDI AER BOU CAS EMA ENG LIZ MAQ MEG MER PSP RES SAN TOU VEN VIC VIG ZIN BUS HOC MIQ MAR CRI;;CL;;;9;BD LIBERTE;81105;;571632;1862362
LQL;LAVAUR CAUQUILLOUS;DDI;;CL;;;;ZI CAUQUILLOUS;81140;;552933;1859186
OTP;AUTERIVE ST PAUL;OHD HDA OHA OBD OKD;AUT;CL;;;;PL LEONIE TOULOUSE;31033;;530219;1816939
SP7;ST PAUL DE VERN;DDI;;CL;;;;LE BOURG;46286;;568441;1982179
8AB;ST JULIEN DE RODELLE;SJR;BOZ;ZO;;;;ST JULIEN;12201;;625645;1944312
MZ6;MAZEROLLES;ANT ZDD;;CL;;;;VILLAGE;65308;;433311;1818914
ESY;ESTIPOUY;ESY;MDE;MED;;;;CHE VICINAL N 6;32128;;441398;1839921
TEA;TERMES ARM;ZDD CAH IZO TAS MOU;;CL;;;;TANAIRON;32443;;410677;1854481
BRA;BRASSAC 81;DDI BEZ CAS COM PLA SAL LAG BUG GUZ;;CL;;;;PL PETIT TRAIN;81037;;612929;1847779
LAF;LAFILAIRE;XPA XPB XPC XPD XPE XPF XPG PGL XPH XPJ XPL XPM XPN XPO POF POK XPP XPQ PSS XPX XPY XCP XDD FED FRA FYA FYB FYC FYD FYE XFC XFE XFG XFH XFM XFP FPM XFR XFS FSA XFT XFU FZF FZI FZM FZP FZX FUM FAW FRG FSM PRO FGP GPH FAX FQE PRB FTY FAY FXC FAT FAU XFW FAZ FAS FVI FTH FPA FCH GLV FPC FZL FCL FPL ICF SNC;;CAA;;;44;CHE DUROUX;31555;RLF;530535;1843877
ECR;EUROCENTRE   ;DAN;CTN;HD;;;;AV FONTREAL;31587;;522415;1863032
BS7;BOUSSAC;DDI BED CAM CRN FUM;;CL;;;;MANDENS BAS;46035;;566662;1955397
LQM;LAROQUE-D OLMES;THO CLE CAR TAB IVR DDI ESC PAR;;CL;;;;AV 11 NOVEMBRE 1918;09157;;561490;1773619
CHA;SAINTE-CHRISTIE-D ARMAGNAC;ZDD BOR SAL;;CL;;;;AU VILLAGE;32369;;411012;1867530
VAI;VAISSAC;DDI PEC REV;;CL;;;;PENARDS HAUTS;82184;;538258;1892640
8PT;PONT;PON;MRP;ZO;;;;AV PONT;09194;;562458;1788233
8AC;BAR;BAR;FOU;ZO;;;;BAR;12029;;579036;1909755
NOA;NOAILHAC;DDI BOI PRA;;CL;;;;AV CHARLES TAILHADES;81196;;601071;1841389
LPX;LANNEPAX;ZDD CAC;;CL;;;;VILLAGE;32190;;430056;1868736
KZX;CAZAUX D ANGLES;CAZ;RB6;MED;;;;VILLAGE;32097;;432359;1852761
LAG;LAGUIOLE;DDI SOU PAR OUS;;CL;;;;RTE ESPALION;12119;;640839;1964742
ESZ;ESCAZEAUX;DDI GAR;;CL;;;;LE BOURG;82053;;494165;1871305
DNI;PUYDANIEL;OED;AUT;HD;;;;RTE CAUJAC;31442;;526510;1815719
BQL;BRUNIQUEL BUGAREL;DDI VIL ECO PUY LAL;;CL;;;;BUGAREL HAUT;82026;;542095;1897023
LRD;LAGARDE;DDI BAS STQ CAM GRA;;CL;;;;VILLAGE;09150;;566730;1783107
SP9;ST PROJET 82;DDI;;CL;;;;PRE REDON;82172;;556844;1922823
8PU;POUZE;POU XIS;MON;HD;;;;LES OUSTALETS;31437;;534382;1826077
8RA;GRAMOND;GRA;BAR;HD;;;;LE BOURG;12113;;602246;1918285
8AD;BOR;BOR;FOU;ZO;;;;LA BOUSCARRE;12029;;578336;1910981
BRC;BRASSAC 82;DDI MOI FOU FAU MON CAS BDV GAU;;CL;;;;CHE EGLISE;82024;;490689;1913563
LAH;LAHITERE;DDI;;CL;;;;LE VILLAGE;31267;;506731;1793499
GAG;GAGES;DDI CAN;;CL;;;;RTE AGEN;12157;;629400;1932412
RGP;RIGUEPEU;ZDD BAZ RIV;;CL;;;;VILLAGE;32343;;438865;1853532
LPY;LABRESPY;DDI MON RES;;CL;;;;LABRESPY;81163;;602433;1828469
LRE;LABESSIERE-CANDEIL;DDI SME;;CL;;;;PATEGRAND;81117;;573494;1866446
LC4;LACOUGOTTE;DDI ROQ;;CL;;;;BOURG;81126;;558867;1848936
VRH;VERLHAC TESCOU;DDI;;CL;;;;LE BOURG;82192;;535818;1881365
8RB;RABAT;RAB;TAR;ZO;;;;LA PLACE;09241;;535855;1761735
OUJ;LIOUJAS CASTELETS;CAS;SEB;MED;;;;LES CASTELETS;12131;;624136;1934199
8AE;MUROLS;MUR;LCB;ZO;;;;MUROLS SOUBEYRE;12166;;619090;1974272
JUI;JUILLAN;ZDD JUI JBE JMO GAR;;CL;;;;CHE BIESARIES;65235;;412635;1802505
LAI;LAISSAC;DDI GAR POS PAL GAG SEV MON BOU;;CL;;;;LES COMBES;12120;;639483;1931043
INL;LINAC;LIN MON;BA7;HD;;;;CHATEAU DE PUY LAUNAY;46174;;581949;1963227
H6R;ST HILAIRE;SHI;COU;ZO;;;;CHE EGLISE ST HILAIRE;82121;;516946;1894286
BRD;BARDIGUES;DDI;;CL;;;;LE BOURG;82010;;483875;1894291
GRE;GRENADE;XDD XGS XGV XGL XON XGT SJA BMC XMO;;CL;;;21;RUE ROQUEMAUREL;31232;;516065;1863875
CGN;CASTELGINEST;XCA XLM NML XAU XCD XPB XBA XRV XSA XPE XGC DDI;;CL;;;;RUE ST GILLES;31116;;526448;1854991
BAG;BAGNERES DE BIGORRE;ZDD CVA DUM HAL COU GER POU PAL FOI VIG FRO TRE PAS RCO MAI BUP GCA ANO ORD LOR CAS RVA;;CL;;;3;RUE RAYMOND COMPAGNET;65059;;421334;1787716
8RC;SERIGNAC 82;SER BEG;BMG;HD;;;;BOURG;82180;;494287;1880799
8AF;VILLEVAYRE;VIL;NAJ;ZO;;;;VILLEVAYRE;12167;;568222;1912723
BRE;BRETENOUX;DDI MIL PUY PRU POR PIA GRA GLA BOR BON BIA THI CRN;;CL;;;133;AV REPUBLIQUE;46029;;560763;1990918
G1B;GIMBREDE;GIM;MRD;MED;;;;LE VILLAGE;32146;;470072;1894328
CHE;ST CHELS;VIL DDI;;CL;;;;PECH GRANAT;46254;;560385;1946753
GAI;GAILLAC;DDI BRE CHA CLO CON CEC FOC CLE GAM MAR MON JEA TES THE VAY RIG EXU FED JAU POU CAT PEN;;CL;;;106;PL JEAN MOULIN;81099;;564862;1877891
TTV;LE TRAVET;TRA;TEI;HD;;;;BOURG;81301;;599518;1867765
PLA;PLAISANCE;DDD DAD DBD DCD DED DFD DID DKD DLD DJD DND DCA DRD DYD DFA DMD DPD DOD PRA DQD DIA M01;;CL;;;44;BD CAPELLES;31424;;515898;1840825
VAL;VALENCE D AGEN;DDI POM ESP SMA AUC CHA GOL BOR LAL CAS QSE AUV GOU RET PLA;;CL;;;;CRS 8 MAI 1945;82186;;484864;1901632
RGS;PRENDEIGNES;PRE;FIG;HD;;;;LAFRAGETTE;46226;;580835;1963835
8AG;COUDOLS;COU;SCU;ZO;;;;COUDOLS;12296;;636840;1900098
ODO;ODOS;ZDD BOU LBE FLO HOR;;CL;;;;RUE BIGORRE;65331;;414565;1802277
MHH;MORLHON LE HAUT;MOR;LEV;MED;;;;LE BOURG;12159;;579576;1924561
VRJ;SAINTE MERE;MER;SE8;MED;;;;AU VILLAGE;32395;;466926;1890032
LBA;LOURES BAROUSSE;ZDD BER VAL;;CL;;;5;AV MONTREJEAU;65287;;458503;1781746
CXM;COMBRET;COM;;CL;;;;LE BOURG;12069;;627063;1871089
8RD;LEOBARD;LEO;;CL;;;;COMBEL DE PICHOU;46169;;518914;1968677
NOE;NOE;DDI CAP ECO GAI LON TEM ARD CAS MON;;CL;;;;RN 125;31399;;513672;1817281
PLC;PAULHAC;XDD LAP MLP;;CL;;;;VILLAGE;31407;;537173;1861796
8AH;MOULIN DU ROC;MRO;SCU;ZO;;;;LE MOULIN DU ROC;12253;;636848;1903292
LAL;LALBENQUE;DDI BOU;;CL;;;;RUE MARCHE AUX TRUFFES;46148;;536663;1927026
EUK;STE EULALIE DE CERNON;SEU;CAV;HD;;;;LE BOURG;12220;;664068;1887048
BRG;BAREGES;ZDD LAY MAR NEO ONC LIE RIO LGC HEL PLE;;CL;;;3;CHE DES ARTIGALAS;65481;;413833;1768615
AJT;BAJONNETTE;BAJ;MFT;MED;;;;VILLAGE;32026;;473719;1868796
QBC;COUBISOU LE CAUSSE;LCA;EST;MED;;;;LE CAUSSE;12079;;630019;1951382
SNQ;ST CIRQ;DDI;;CL;;;;LE BOURG;82159;;541476;1905241
FLA;FLAVIN;DDI VAY BAR BAS;;CL;;;;LE BOURG;12102;;621604;1920851
SNR;ST PLANCARD;DDI BOU LOU SED CAZ;;CL;;;;VILLAGE;31513;;456647;1798103
8RF;BETPOUEY;VIE;LZU;HD;;;;VILLAGE;65089;;411841;1767171
PLD;PLA D'ADET;ZDD SOL GRA EUR STE ARM MON SCH CRB ESP CHA LEM;;CL;;;;STATION DE SKI;65388;;432857;1758835
OUN;LOUBERSAN;LOU;SME;MED;;;;AU VILLAGE;32215;;452117;1834830
NOG;NOGARO;ZDD BOT AUT;;CL;;;;ALL COLONEL PARISOT;32296;;409008;1864694
TEH;TEILHET ;TEI TOU MAN DDI;;CL;;;;CHE LAITERIE;09244;;554978;1787242
BAK;BASCOUS;BAS;DEM;MED;;;;AU VILLAGE;32031;;422763;1868277
ALA;ALARIC;ZDD VIG SJE MIC FRC THO FRD MAR EXD ARS CIB BOU CED EGL EXP FRO SEM MAS NEL REP MIM GON CHA JAC HLM PLA GAB COR BDP BSJ RMA RF1 ABE BEL MAI BIG NE1 NE2 ARB LAN SAR OXY CLA CR2 TER RCD CR1 LAC GUY MA3 BAD PGA MOU HBI LAB GIA;;CL;;;1;RUE ALOUETTES;65047;;417272;1807561
GRI;GRISOLLES;DDI CAN POM GAR MON COL GCO;;CL;;;;ESP ESPILORY;82075;;516074;1870033
LAM;LAMILLARIE;LEJ COT TRI LAB DDI;;CL;;;;ST BENOIT;81133;;585328;1873865
VAO;VAOUR;DDI;;CL;;;;CITE DU LAC;81309;;557405;1896823
GAL;GALAN;ZDD LIB GAL BON REC MRE;;CL;;;4;RUE DE LA BARSOGUE;65183;;443146;1803963
RYI;ST ARAILLES;ARA;RGP;MED;ARA/R2;ARA/maul6581 CREATION NRAMED RYI EN COURS;;AU VILLAGE;32360;;439392;1849073
LBD;LABORDE;ZDD ESP;;CL;;;;VILLAGE;65241;;433176;1783435
JUN;JUNCALAS;GAZ OUS ZDD;;CL;;;13;RTE D'OUSTE;65237;;408943;1785998
JEG;JEGUN;ZDD BON ENV HOU;;CL;;;;BD MIDI;32162;;448664;1863416
DMZ;DAUMAZAN SUR ARIZE;DDI BAS FOR CAS CLA MER;;CL;;;12;RTE TOULOUSE;09105;;515888;1794219
MIA;COMIAC;DDI;;CL;;;;COMIAC;46311;;572610;1993376
MGU;MONTAIGU DE QUERCY;DDI SVI GOU SCE LTQ;;CL;;;;RTE TOURNON;82117;;494661;1927842
MXR;MIREPOIX SUR TARN;XMI;LAY;HD;;;;PL DE LA REPUBLIQUE;31346;;538457;1868238
TEI;TEILLET;DDI REY TER;;CL;;;;BOURG;81295;;599990;1870508
LAN;LANGUEDOC;LBI LCR XLH LMF LMN XLI LMH XLN LNP LOI LOG LOL XLP LPR XLW XLY XLZ LZB LZE XLD XLE LEA LED LEM XLF LFN LFE LMI LMO LCZ LMW LSA LSM LTA LUR XDD LYA LYB LYK LYM LYO LYQ XLA XLB LBM XLC XLG XLJ LJP XLK LKP XLL XLM XLO XLS XLT XLU LUB XLV LVB LVG XLX LXT LDP LSF LLZ LST XLR CNA LFF LDN LYT LVS LMB LEY LUZ LZA LSS LRS LLE LDU LFA LCU LYL LYN STA LSV PIS LPP LNI LPM;;CAA;;;13;BD DELACOURTIE;31555;RLN;528274;1842866
ODR;ODARS;ODA;ESC;HD;;;;RTE REVEL;31402;;539452;1835855
BAL;BALMA;XDD BER XCE MON NON SJE RPB CEL ARE ZMA NGN CYP ZCE LLA;;CL;;;;AV LAGARDE;31044;;532712;1844904
BC8;BERRAC;ZDD MAR POU LAR;;CL;;;;AUX CLAUX;32047;;455624;1892375
BRI;BRIATEXTE;DDI LAR MOU ROQ FIA;;CL;;;;RTE CABANES;81039;;565459;1861064
ALB;ALBAN;DDI FAN GIS PEY FRA MAS TEL;;CL;;;;PCE DU DOC SANS;81003;;610038;1876399
8BA;CAUCARD;CAU;CBO;ZO;;;;CAUCARD;12057;;613572;1909054
8AK;ST MARTIN DES FAUX;SMF;SCU;ZO;;;;ST MARTIN DES FAUX;12253;;632057;1908494
ULH;DRULHE;DRU;PAC;MED;;;;LE BOURG;12091;;583511;1940149
8AL;LAGARDE;LAG;SEN;ZO;;;;LAGARDE;12268;;608971;1958808
8BB;PEYRUSSE LE ROC;PEY;GL2;ZO;;;;LE BOURG;12181;;584480;1943827
NNT;BARRAN BONNEFONT;BON;EMB;MED;;;;BONNEFONT;32029;;450622;1848504
LBF;LA CAPELLE BLEYS;DDI;;CL;;;;LE BOURG;12054;;587843;1921603
CIA;CIADOUX;CHA SAM REB ESC VIG DDI;;CL;;;;LE VILLAGE;31141;;469856;1807707
VAR;VARILHES;DDI DAL ESP LAB PEL RES SFR COU FER;;CL;;;;AV 8 MAI 1945;09324;;542642;1783022
SOK;SONNAC 12;REM;CDG;MED;;;;LA REMISE;12272;;581517;1950762
SPA;ST PAUL D'ESPIS;DDI SCL;;CL;;;;LE BOURG;82170;;490375;1905647
BAN;BANNIERES;BEL TEU VIV DDI GAS;;CL;;;;BOURG;81022;;552639;1847239
LAP;LAPEROUSE;DDI ALS BOM BRE CAU FON FRA JAR KEL LES MAD MAZ NAJ NEG PIS PLA RIE THO BON CHA HAU GAL VER CAR LAM AVR ROS CAM GAI TER;;CAA;;;1;AV GEN HOCHE;81004;;585608;1882544
FLE;FLEURANCE;ZDD JAU BEA LAU CAS PEU PYR CAZ CAO GEB HOU CON MOU VAL BRI CUS;;CL;;;12;AV CORPS FRANC POMMIES;32132;;465377;1874063
VRO;VILLEFRANCHE DE ROUERGUE;DDI JAU LIB TRI REP IMB ZON AER SJE FAR CLA SER MAI RIV SEG CLU USS BEL BON GUY LES HOT VAL TRE;;CL;;;;CHE TREIZE PIERRES;12300;;575471;1928227
TEL;MARTEL;LOU ESP HOP DDI;;CL;;;;RUE 8 MAI 1945;46185;;542174;1993323
SOL;SOLOMIAC;ZDD;;CL;;;;EN VILLE;32436;;483876;1867947
RIE;RIEUMES;YDD YED YJD YHD;;CL;;;220;PL FOIRAIL;31454;;501098;1824242
8BC;BOURNAC;BOU;SAF;ZO;;;;BOURNAC;12208;;636907;1886713
8AM;BEAUREGARD;CAM;BAR;ZO;;;;BEAUREGARD;12045;;607829;1915367
MYK;MONTANS;MON;GAI;HD;;;;LE BOURG;81171;;562299;1872620
QRO;QUATRE ROUTES LES;BOR CAV CON DDI;;CL;;;;BOURG;46232;;545261;1999569
LBG;LABEGE;FGB XDD ZHT GBI ZHA GBG ZHC GBJ ZHU LBB ZHZ GBK XLA LAV FSG GBE SIC LTR ZHD BIO GBA GP2 GPK;;CL;;;;RUE JEAN ROSTAND;31254;;533236;1838372
BSB;BOURG SAINT BERNARD;XDD BSB SAU PRT;;CL;;;;EN CRAQUE;31082;;549736;1843679
LAQ;LATRONQUIERE;DDI SEN VES;;CL;;;;LES CARBONIERES;46160;;579589;1978188
MZA;MONLEZUN A;ZDD LAT TOU;;CL;;;;CAP BLANC;32274;;399764;1872467
TUT;ST LAURENT;MON VIE LAU DDI;;CL;;;;LE VILLAGE;31494;;475225;1814954
8QU;ROQUES;XDD;POR;HD;;;;RUE GENETS;31458;;520854;1833654
OVI;MAS D AUVIGNON;MAS;STP;MED;;;;AU VILLAGE;32241;;452572;1878286
OUS;OUST;DDI ROQ SEN;;CL;;;;RTE AULUS;09223;;508413;1764123
8AN;MELAGUES;MEL;BSQ;ZO;;;;LE BOURG;12143;;654957;1859920
OEL;ST LOUBE;LOU;LY6;MED;;;;LE VILLAGE;32387;;491660;1827187
LRO;ROUCOUS LE;DDI CAS;;CL;;;;LE ROUCOUS;12294;;646224;1915336
MIE;MIELAN;ZDD BOR AND;;CL;;;;VILLE OUEST;32252;;435550;1827850
LSE;SELVE LA;DDI;;CL;;;;LE BOURG;12267;;615835;1901256
FLG;FLAUGNAC;LAM GAN SAB DDI;;CL;;;;LA CUVETTE 7443;46103;;524756;1919564
LAR;LARREY;AMP ADS BRR BER BIG BRI COR CBO DEB GES HEN JAU KEN LAL LAS MAR MOY LEC ORM PRA RAD SO2 URA POM ROT RAM REF LOR HON MLY NEU FOU MBL CAT MON SUL GAR FOC JUN BEA GEA DEP CLS PHO VOL ZDD MOU CLA ANE PYR COU AUB CFP RCI PA1 PA2 PAS ALA PSU BRA FFL TFU RPY DLT PAG CYG IBE RPL HIP HOZ HAR VAL CTA EST SF2 MRC TRA GEN ETV FOI MRN TRE AYG GDE BAR MBR ETU TER BRU VER GUN RDE BAL RGE FIG TVE RPR CAZ GOU FCH CPY CPC;;CL;;;56;RUE LARREY;65440;RLR;416125;1805716
8BD;VABRES L'ABBAYE;VAB;SAF;ZO;;;;RUE QUAI;12286;;640276;1882813
8SA;SAULIAC SUR CELE;SUL;TFU;HD;;;;LE BOURG;46299;;551218;1946405
ALF;ALBEFEUILLE LAGARDE;DDI;;CL;;;;RTE MONTAUBAN;82001;;515363;1896280
BD2;BORDEROUGE;BBM BPL XDD BBD BBR XNR BBV DAU BRN XBV BOU PAS BXY GAC BIZ XGS GAD;;CL;;;5;IMP BORDEROUGE;31555;;528688;1849561
VCA;VIRAC;VIR;CR8;HD;;;;BOURG;81322;;576604;1893996
SR0;SERE;SER;MT7;MED;;;;DEPART171;32430;;462863;1823985
8BE;AURELLE VERLAC;VER;STZ;ZO;;;;VERLAC;12014;;653400;1945244
LU2;LOUBENS LAURAGAIS;XDD LOU XQC FAG;;CL;;;;EN BOUYCEL;31304;;554950;1841843
LAS;LASCABANES;DDI STA LBA CEZ;;CL;;;;LES VIGNALS;46158;;517086;1925411
ZLL;AUZIELLE;AUV LAZ XDD;;CL;;;;VILLAGE;31036;;537639;1837991
BBG;BOURG DE BIGORRE;ZDD BON;;CL;;;;VILLAGE;65105;;430749;1789797
IOL;LAGARDIOLLE;GAR;DOU;HD;;;;BOURG;81129;;580373;1833575
RIG;RIGNAC;DDI REM;;CL;;;;RTE RODEZ;12199;;596759;1934320
GAR;GARONNE;GDD GDB GDP GAD GBD GCD GED GFD GHD GJD GMD GOD GRD GSD GTD GVD GXD GZD GKD GUD G2L GWD G2R GLD G2S G2N GND GPD GQD G2M GFH GDZ G3E G3A G3C G3D G3B G3F G2H G2J G2K G3G G2E GDI GDT GFA GMI G2P GFG GCE G3M;;CL;;;73B;ALL CHARLES DE FITTE;31555;RGA;526712;1844473
KLI;CALLIAN;CAN;BA6;MED;CAN/R2;CAN/maul6581 CREATION NRAMED KLI EN COURS;;AU VILLAGE;32072;;432976;1849763
8SC;SONAC;SON;LIV;HD;;;;LE BOURG;46306;;561049;1965672
MYN;MAYRAN;DDI FAR;;CL;;;;LE BOURG;12142;;602216;1932046
LU3;LOUBRESSAC;DDI;;CL;;;;LE BOURG;46177;;557883;1985672
L2C;LUC PRIMAUBE;DDI;;CL;;;;LA BARAQUE DE LUC;12133;;616146;1923670
SPE;ST PE;ZDD PEY RIE;;CL;;;1;RUE DES CLOUTIERS;65395;;396330;1792191
8AP;BRASC;BRA;CPI;ZO;;;;LE BOURG;12035;;618977;1886241
LAT;LACROUZETTE;DDI EGL MAL MOU GAR;;CL;;;;PL THERON;81128;;601068;1851130
CIE;CIERP GAUD;MAR DDI CHA EST SIG BAC GUR BUR CAZ;;CL;;;;RUE DU DOCTEUR JEAN VIVES;31144;;461163;1769310
BRO;BROQUIES;DDI ROU CAZ;;CL;;;;LE BOURG;12037;;628953;1889388
GAS;GASCOGNE;ZDD COU ZIN NRV HEL DUM BRO FOU TER ZUP DAV PES SOM RIB CCL MAG PEX MON GRI COG BEA AER MAT TUI MAR PEC COL BLE TAR;;CAA;;;1;RUE DE BLAZY;32013;;459527;1850858
BAR;BARAQUEVILLE;DDI SJU LLA MAN SIL MAI TUN TRU LAC TER RET;;CL;;;;AV RODEZ;12056;;608128;1919561
8AQ;SOLAGES;LAB;CPI;ZO;;;;SOLAGES;12023;;615035;1882652
8BG;SAINT JUST SUR VIAUR;SJU;NAG;HD;;;;LE BOURG;12235;;602612;1902663
KMA;MASSALS;MAS;ALB;HD;;;;BOURG;81161;;614830;1872409
LCA;LACAPELLE-CABANAC;DDI CBA;;CL;;;;LE BOURG;46142;;498845;1941105
